height_cm,weight_kg,size_std,model_group,qty
175.0,72.0,XL,BELI,1
180.0,75.0,XL,PRINT,1
170.0,73.0,XL,PRINT,1
178.0,84.0,2XL,PRINT,1
174.0,90.0,3XL,BELI,1
170.0,60.0,L,PRINT,1
170.0,60.0,L,PRINT,1
189.0,94.0,3XL,PRINT,1
178.0,65.0,XL,PRINT,1
178.0,65.0,XL,PRINT,1
180.0,70.0,XL,PRINT,1
178.0,73.0,XL,PRINT,1
160.0,65.0,L,PRINT,1
170.0,95.0,3XL,PRINT,1
184.0,70.0,2XL,OTHER,1
170.0,69.0,XL,PRINT,1
164.0,70.0,XL,PRINT,1
171.0,77.0,XL,PRINT,1
168.0,65.0,XL,PRINT,1
179.0,79.0,XL,PRINT,1
173.0,70.0,XL,PRINT,1
173.0,70.0,XL,PRINT,1
175.0,70.0,XL,PRINT,1
160.0,43.0,S,PRINT,1
170.0,53.0,M,PRINT,1
166.0,53.0,L,PRINT,1
160.0,63.0,L,PRINT,1
175.0,57.0,L,PRINT,1
185.0,65.0,2XL,PRINT,1
180.0,80.0,2XL,PRINT,1
169.0,74.0,XL,BELI,1
169.0,70.0,XL,BELI,1
187.0,78.0,2XL,BELI,1
160.0,40.0,S,PRINT,1
181.0,105.0,3XL,PRINT,1
190.0,90.0,2XL,PRINT,1
170.0,70.0,XL,PRINT,1
170.0,65.0,XL,PRINT,1
175.0,75.0,XL,PRINT,2
171.0,50.0,M,PRINT,1
186.0,73.0,M,PRINT,1
175.0,62.0,L,PRINT,1
170.0,95.0,3XL,PRINT,1
183.0,95.0,3XL,PRINT,1
172.0,75.0,XL,BELI,1
170.0,98.0,3XL,BELI,1
185.0,85.0,3XL,BELI,1
173.0,73.0,XL,PRINT,1
180.0,65.0,XL,PRINT,1
175.0,75.0,XL,PRINT,1
172.0,75.0,XL,PRINT,1
180.0,69.0,XL,PRINT,1
175.0,80.0,XL,PRINT,1
175.0,58.0,L,PRINT,1
182.0,105.0,3XL,PRINT,1
185.0,70.0,2XL,PRINT,1
170.0,90.0,2XL,PRINT,1
185.0,83.0,2XL,PRINT,1
180.0,85.0,2XL,PRINT,1
170.0,66.0,XL,BELI,1
185.0,83.0,2XL,BELI,1
180.0,85.0,2XL,BELI,1
188.0,77.0,2XL,BELI,1
170.0,77.0,XL,PRINT,1
145.0,45.0,S,PRINT,1
180.0,92.0,3XL,PRINT,1
170.0,85.0,2XL,PRINT,1
183.0,105.0,3XL,PRINT,1
168.0,68.0,XL,PRINT,1
167.0,55.0,M,PRINT,1
180.0,97.0,3XL,PRINT,1
170.0,70.0,XL,BELI,1
195.0,160.0,4XL,PRINT,1
180.0,115.0,4XL,PRINT,1
178.0,85.0,2XL,PRINT,1
175.0,70.0,XL,PRINT,1
180.0,65.0,XL,PRINT,1
176.0,77.0,XL,PRINT,1
178.0,67.0,XL,PRINT,1
161.0,51.0,M,PRINT,1
162.0,48.0,M,PRINT,1
170.0,58.0,L,PRINT,1
175.0,60.0,L,PRINT,1
174.0,118.0,4XL,PRINT,1
180.0,93.0,3XL,PRINT,1
187.0,93.0,3XL,PRINT,1
168.0,80.0,2XL,PRINT,1
176.0,85.0,2XL,PRINT,1
183.0,64.0,XL,PRINT,1
175.0,70.0,XL,PRINT,1
178.0,92.0,2XL,PRINT,1
180.0,80.0,2XL,PRINT,1
176.0,70.0,XL,PRINT,1
170.0,88.0,2XL,PRINT,1
170.0,70.0,XL,PRINT,1
176.0,77.0,XL,PRINT,1
170.0,75.0,XL,PRINT,1
189.0,88.0,3XL,PRINT,1
180.0,78.0,XL,PRINT,1
176.0,100.0,3XL,PRINT,1
186.0,84.0,2XL,PRINT,1
175.0,84.0,2XL,PRINT,1
174.0,73.0,XL,PRINT,1
170.0,64.0,XL,PRINT,1
145.0,46.0,S,PRINT,1
175.0,65.0,L,PRINT,1
173.0,78.0,XL,BELI,1
190.0,85.0,2XL,BELI,1
172.0,60.0,L,PRINT,1
175.0,80.0,XL,PRINT,1
164.0,52.0,M,PRINT,1
188.0,70.0,2XL,PRINT,1
178.0,85.0,2XL,PRINT,1
170.0,70.0,XL,PRINT,1
168.0,75.0,XL,PRINT,1
172.0,75.0,XL,PRINT,1
174.0,60.0,L,PRINT,1
176.0,84.0,2XL,PRINT,1
180.0,70.0,2XL,PRINT,1
190.0,121.0,3XL,BELI,1
180.0,88.0,3XL,BELI,1
177.0,70.0,XL,PRINT,1
170.0,68.0,XL,PRINT,1
175.0,93.0,3XL,PRINT,1
180.0,95.0,3XL,PRINT,1
185.0,75.0,2XL,PRINT,1
175.0,79.0,2XL,PRINT,1
182.0,72.0,2XL,PRINT,1
176.0,65.0,XL,PRINT,1
185.0,83.0,2XL,PRINT,1
170.0,54.0,M,BELI,1
155.0,45.0,M,BELI,1
175.0,90.0,2XL,BELI,1
187.0,88.0,2XL,PRINT,1
179.0,67.0,XL,PRINT,1
180.0,65.0,XL,PRINT,1
170.0,72.0,XL,PRINT,1
180.0,65.0,XL,PRINT,1
180.0,68.0,XL,PRINT,1
178.0,70.0,XL,PRINT,1
170.0,70.0,XL,PRINT,1
148.0,37.0,S,PRINT,1
180.0,110.0,4XL,PRINT,1
186.0,84.0,2XL,PRINT,1
180.0,95.0,2XL,PRINT,1
178.0,80.0,2XL,PRINT,1
188.0,70.0,3XL,BELI,1
180.0,52.0,XL,PRINT,1
186.0,130.0,3XL,BELI,1
179.0,115.0,3XL,BELI,1
182.0,70.0,XL,PRINT,1
161.0,64.0,XL,PRINT,1
175.0,70.0,XL,PRINT,1
174.0,70.0,XL,PRINT,1
180.0,70.0,XL,PRINT,1
170.0,57.0,L,PRINT,1
180.0,105.0,3XL,PRINT,1
184.0,100.0,3XL,PRINT,1
176.0,93.0,3XL,PRINT,1
182.0,85.0,2XL,PRINT,1
183.0,78.0,2XL,PRINT,1
174.0,76.0,XL,BELI,1
183.0,90.0,3XL,PRINT,1
186.0,88.0,2XL,PRINT,1
172.0,68.0,L,BELI,1
180.0,95.0,3XL,BELI,1
180.0,80.0,2XL,BELI,1
160.0,66.0,L,PRINT,1
184.0,84.0,2XL,PRINT,1
176.0,65.0,XL,PRINT,1
164.0,98.0,3XL,PRINT,1
174.0,70.0,XL,PRINT,1
183.0,100.0,3XL,PRINT,1
185.0,90.0,2XL,PRINT,1
178.0,79.0,XL,BELI,1
179.0,64.0,XL,BELI,1
165.0,75.0,XL,BELI,1
169.0,60.0,L,BELI,1
180.0,105.0,4XL,PRINT,1
175.0,55.0,XL,PRINT,1
172.0,62.0,XL,PRINT,1
189.0,107.0,4XL,PRINT,1
195.0,115.0,3XL,BELI,1
175.0,60.0,XL,PRINT,1
185.0,80.0,XL,BELI,1
180.0,80.0,XL,BELI,1
175.0,70.0,XL,BELI,1
175.0,65.0,XL,BELI,1
180.0,110.0,3XL,BELI,1
180.0,95.0,3XL,BELI,1
187.0,110.0,3XL,BELI,1
174.0,85.0,2XL,BELI,1
189.0,90.0,2XL,BELI,1
173.0,83.0,2XL,BELI,1
175.0,90.0,2XL,BELI,2
178.0,65.0,XL,PRINT,1
173.0,73.0,XL,PRINT,1
175.0,90.0,3XL,PRINT,1
180.0,100.0,3XL,PRINT,1
183.0,101.0,3XL,PRINT,1
