sku_key,my_size,total_qty
"""=XLOOKUP([@[SKU_KEY]];BUSINESS_MODEL.XLSM!TABLE257[SKU_KEY];BUSINESS_MODEL.XLSM!TABLE257[KASPI_NAME_CORE];"""";0;1)""",nan,0
0,nan,0
12990,nan,0
14990,nan,0
BELI51,2XL,0
BELI51,3XL,0
BELI51,4XL,0
BELI51,L,0
BELI51,M,0
BELI51,S,0
BELI51,XL,0
CL_NEW_CLO_KIDS_KID_31_BLACK,26,0
CL_NEW_CLO_KIDS_KID_31_BLACK,28,0
CL_NEW_CLO_KIDS_KID_31_BLACK,30,0
CL_NEW_CLO_KIDS_KID_31_BLACK,M,0
CL_NEW_CLO_MEN_LEG_BLACK,2XL,0
CL_NEW_CLO_MEN_LEG_BLACK,3XL,0
CL_NEW_CLO_MEN_LEG_BLACK,L,0
CL_NEW_CLO_MEN_LEG_BLACK,M,0
CL_NEW_CLO_MEN_LEG_BLACK,XL,0
CL_NEW_CLO_MEN_LEG_WHITE,2XL,0
CL_NEW_CLO_MEN_LEG_WHITE,3XL,0
CL_NEW_CLO_MEN_LEG_WHITE,L,0
CL_NEW_CLO_MEN_LEG_WHITE,M,0
CL_NEW_CLO_MEN_LEG_WHITE,S,0
CL_NEW_CLO_MEN_LEG_WHITE,XL,0
CL_NEW_CLO_MEN_RUSH_PRO_BLACK,2XL,0
CL_NEW_CLO_MEN_RUSH_PRO_BLACK,L,0
CL_NEW_CLO_MEN_RUSH_PRO_BLACK,M,0
CL_NEW_CLO_MEN_RUSH_PRO_BLACK,XL,0
CL_NEW_CLO_MEN_TAICI_BLACK,2XL,0
CL_NEW_CLO_MEN_TAICI_BLACK,3XL,0
CL_NEW_CLO_MEN_TAICI_BLACK,L,0
CL_NEW_CLO_MEN_TAICI_BLACK,M,0
CL_NEW_CLO_MEN_TAICI_BLACK,XL,0
CL_NEW_CLO_MEN_T_SHIRT_BLACK,3XL,0
CL_NEW_CLO_MEN_T_SHIRT_BLACK,M,0
CL_NEW_CLO_MEN_T_SHIRT_BLACK,XL,0
CL_OC_MEN_PRINT51_BLACK,2XL,0
CL_OC_MEN_PRINT51_BLACK,3XL,0
CL_OC_MEN_PRINT51_BLACK,4XL,0
CL_OC_MEN_PRINT51_BLACK,L,0
CL_OC_MEN_PRINT51_BLACK,M,0
CL_OC_MEN_PRINT51_BLACK,S,0
CL_OC_MEN_PRINT51_BLACK,XL,0
ESDY_ЧЕРНЫЙ,L,0
ESDY_ЧЕРНЫЙ,XL,0
nan,nan,0
ЧЕРНИЛА_664_ЧЕРНЫЙ,nan,0
ЧЕРНИЛА_КОМПЛЕКТ,nan,0
